,hour_UT,Alt,GLat,GLon,MLat,MLon,MLT,DOY,SYM-H,P10.7,Kp,den_GRACE,den_NET
6401,8.891666666666666,488.4940000000006,-55.427,217.278,-51.85391616821289,-50.49234390258789,0.8582242329915365,262.0,-6.0,69.26975308641975,0.7,21184.6,20652.66307306519
6402,8.893055555555556,488.4549999999999,-55.11,217.273,-51.566707611083984,-50.737823486328125,0.8422045389811198,262.0,-6.0,69.26975308641975,0.7,21225.7,20726.50556249767
6403,8.894444444444444,488.415,-54.793,217.269,-51.27888870239258,-50.97973251342773,0.8267061869303386,262.0,-6.0,69.26975308641975,0.7,21302.8,20818.686492848454
6404,8.895833333333332,488.3739999999998,-54.476,217.264,-50.99091339111328,-51.21988677978516,0.8116078694661458,262.0,-6.0,69.26975308641975,0.7,21298.9,20928.159858205512
6405,8.897222222222222,488.3330000000005,-54.159,217.259,-50.70256423950195,-51.45746994018555,0.7961374918619791,262.0,-6.0,69.26975308641975,0.7,21357.7,21054.794123906413
6406,8.89861111111111,488.29100000000017,-53.842,217.253,-50.41407012939453,-51.69340896606445,0.7810602823893229,262.0,-6.0,69.26975308641975,0.7,21351.8,21197.16111572418
6407,8.9,488.2489999999998,-53.525,217.248,-50.12500381469727,-51.92597198486328,0.7664906819661458,262.0,-6.0,69.26975308641975,0.7,21273.3,21355.16134831812
6408,8.901388888888889,488.2060000000001,-53.208,217.242,-49.83579635620117,-52.156982421875,0.7517573038736979,262.0,-6.0,69.26975308641975,0.7,21202.6,21528.87037424524
6409,8.902777777777779,488.16300000000047,-52.891,217.236,-49.54624938964844,-52.38561248779297,0.7369145711263021,262.0,-6.0,69.26975308641975,0.7,21095.1,21718.942272083383
6410,8.904166666666667,488.1199999999999,-52.574,217.23,-49.2563591003418,-52.61187362670898,0.7227877298990886,262.0,-6.0,69.26975308641975,0.7,21089.0,21926.176760386166
6411,8.905555555555557,488.0749999999998,-52.257,217.223,-48.96634292602539,-52.83671569824219,0.7084879557291667,262.0,-6.0,69.26975308641975,0.7,21166.6,22151.923332961404
6412,8.906944444444445,488.031,-51.939,217.216,-48.67508316040039,-53.05997848510742,0.6940236409505208,262.0,-6.0,69.26975308641975,0.7,21252.2,22398.14253132513
6413,8.908333333333333,487.9859999999999,-51.622,217.21,-48.38419723510742,-53.2794075012207,0.6803751627604167,262.0,-6.0,69.26975308641975,0.7,21367.6,22664.628948369293
6414,8.909722222222223,487.9400000000005,-51.305,217.203,-48.09320831298828,-53.49755096435547,0.6665440877278646,262.0,-6.0,69.26975308641975,0.7,21521.5,22952.627832748345
6415,8.911111111111111,487.8940000000002,-50.988,217.195,-47.8021125793457,-53.71443557739258,0.6525291442871094,262.0,-6.0,69.26975308641975,0.7,21642.8,23262.67587484313
6416,8.9125,487.84699999999975,-50.671,217.188,-47.51049423217773,-53.92829132080078,0.6389989217122396,262.0,-6.0,69.26975308641975,0.7,21833.2,23595.719516594017
6417,8.91388888888889,487.8000000000002,-50.353,217.18,-47.21785354614258,-54.14161682128906,0.6257843017578125,262.0,-6.0,69.26975308641975,0.7,21991.0,23951.75448857536
6418,8.915277777777778,487.7520000000004,-50.036,217.172,-46.92583084106445,-54.35221862792969,0.6124860127766927,262.0,-6.0,69.26975308641975,0.7,22125.5,24328.1301247564
6419,8.916666666666666,487.70400000000063,-49.719,217.164,-46.63350296020508,-54.56078720092773,0.5990547180175781,262.0,-6.0,69.26975308641975,0.7,22324.7,24723.47850210536
6420,8.918055555555554,487.65499999999975,-49.401,217.156,-46.33994674682617,-54.76798629760742,0.5862709045410156,262.0,-6.0,69.26975308641975,0.7,22508.7,25135.18917270304
6421,8.919444444444444,487.60599999999977,-49.084,217.148,-46.04702758789063,-54.97259521484375,0.5733940124511718,262.0,-6.0,69.26975308641975,0.7,22797.9,25554.9203548002
6422,8.920833333333333,487.5569999999998,-48.766,217.14,-45.75288009643555,-55.17586135864258,0.5603373209635417,262.0,-6.0,69.26975308641975,0.7,23081.9,25979.149153388506
6423,8.922222222222222,487.5060000000003,-48.449,217.131,-45.45958709716797,-55.37752151489258,0.5479459126790365,262.0,-6.0,69.26975308641975,0.7,23435.0,26400.54013304994
6424,8.92361111111111,487.4560000000001,-48.131,217.122,-45.165069580078125,-55.57789993286133,0.5353716532389323,262.0,-6.0,69.26975308641975,0.7,23732.8,26820.400727546345
6425,8.924999999999999,487.4040000000005,-47.814,217.113,-44.871192932128906,-55.77579498291016,0.5226964314778646,262.0,-6.0,69.26975308641975,0.7,24036.7,27237.47599687379
6426,8.926388888888889,487.35300000000007,-47.496,217.104,-44.57610321044922,-55.97245788574219,0.5103848775227865,262.0,-6.0,69.26975308641975,0.7,24302.9,27655.02690514385
6427,8.927777777777777,487.3010000000004,-47.179,217.095,-44.28166580200195,-56.16670989990234,0.498517354329427,262.0,-6.0,69.26975308641975,0.7,24626.4,28071.476174420437
6428,8.929166666666665,487.2480000000005,-46.861,217.086,-43.98601150512695,-56.3597526550293,0.4861867268880208,262.0,-6.0,69.26975308641975,0.7,24910.6,28490.185185401417
6429,8.930555555555555,487.1950000000006,-46.543,217.076,-43.69028472900391,-56.55194091796875,0.4741950988769531,262.0,-6.0,69.26975308641975,0.7,25185.5,28910.5081713124
6430,8.931944444444444,487.1410000000005,-46.226,217.067,-43.395015716552734,-56.74087905883789,0.4627042134602864,262.0,-6.0,69.26975308641975,0.7,25552.9,29332.05343292751
6431,8.933333333333334,487.0870000000005,-45.908,217.057,-43.098731994628906,-56.92958450317383,0.4509602864583333,262.0,-6.0,69.26975308641975,0.7,25801.1,29755.48917779943
6432,8.934722222222222,487.03200000000015,-45.59,217.047,-42.80218124389648,-57.1165885925293,0.4390614827473958,262.0,-6.0,69.26975308641975,0.7,26096.6,30178.1764316128
6433,8.936111111111112,486.9769999999999,-45.272,217.037,-42.505348205566406,-57.301883697509766,0.4278340657552083,262.0,-6.0,69.26975308641975,0.7,26354.5,30598.740171991976
6434,8.9375,486.9210000000003,-44.955,217.027,-42.20919418334961,-57.4849739074707,0.4164889017740885,262.0,-6.0,69.26975308641975,0.7,26615.9,31014.71636458422
6435,8.93888888888889,486.8649999999998,-44.637,217.017,-41.91181945800781,-57.66694641113281,0.4049484252929687,262.0,-6.0,69.26975308641975,0.7,26831.8,31428.000401158857
6436,8.940277777777778,486.808,-44.319,217.007,-41.61417770385742,-57.8472785949707,0.3940747578938802,262.0,-6.0,69.26975308641975,0.7,26894.9,31836.907709034665
6437,8.941666666666666,486.7510000000002,-44.001,216.996,-41.31647109985352,-58.02693939208984,0.3829785664876302,262.0,-6.0,69.26975308641975,0.7,26892.5,32238.29640092344
